,feature,class
947,"[-4.1335458e+02  9.7602493e+01 -5.7058635e+00 -1.0031904e+01
 -9.3197250e+00  8.6751394e+00 -2.2131935e+01  1.9822339e+00
 -1.7477682e+01  1.0008069e+00 -1.1988208e+01 -3.6274686e+00
 -3.9868271e+00  9.2021710e-01 -3.9894660e+00  6.3606110e+00
 -5.6823277e+00  1.4823222e+01 -9.6290380e-01 -3.0697470e+00
 -2.9848495e-01  2.3860252e+00 -2.5397816e+00  5.2149396e+00
 -3.2917416e-01  6.9541245e+00  5.9610076e+00  1.0771038e+01
  8.5521346e-01  5.9757328e+00  1.5836245e+00  4.7124891e+00
  8.6535873e+00  9.6514940e-01  2.6415763e+00  3.3828630e+00
  2.1877947e+00  1.9264410e+00  3.9901335e+00  4.8831306e+00]",Happy
948,"[-3.9912543e+02  7.3063683e+01 -8.7308426e+00 -1.4153411e+01
 -1.8618326e+01  5.0084329e+00 -2.2913153e+01  1.0398574e+00
 -2.0210510e+01  2.4388041e+00 -1.4843402e+01  6.9480524e+00
 -2.0935581e+00  8.3063507e+00 -2.6391118e+00 -1.0901054e+00
 -5.2974906e+00 -1.3310224e+00 -7.4722648e+00 -1.3169037e+01
 -3.5930190e+00  6.2291155e+00  1.5249408e+00  1.8393784e+01
  2.7247290e+01  2.9529398e+01  2.3334894e+01  1.5306710e+01
  1.4267989e+00  2.2522810e+00  5.3611636e+00  6.0298386e+00
  8.1900291e+00 -5.4709711e+00  2.5201914e+00 -1.5013419e-01
  2.5336270e+00  5.3430185e+00  2.4201675e-01 -2.6608095e+00]",Angry
949,"[-3.3654837e+02  3.7770393e+01 -1.3107117e+01  2.0504230e+01
 -1.3119240e+01  2.4175891e-01 -1.0645098e+01 -1.0615902e+01
 -2.9680796e+00 -4.7908595e-01 -1.1950884e+01  1.4274561e+01
 -1.6332670e+01  1.2347829e+01 -9.7448177e+00 -2.7737648e+00
 -1.1714761e+00  2.4230320e+00 -2.3590388e+00  8.1990747e+00
 -5.9254885e+00 -8.1947190e-01 -2.6065466e+00  6.4179764e+00
  6.5953355e+00  1.1382362e+01  3.9575145e+00  3.6736498e+00
  5.7413602e+00  9.1143904e+00  3.0558157e+00 -9.4320881e-01
 -5.4237924e+00 -1.9577463e-01  4.6033440e+00  5.2679858e+00
  6.5641308e-01 -1.3558710e+00 -1.9817483e+00 -3.7518200e-01]",Happy
950,"[-4.9677695e+02  6.6521767e+01  1.4320566e+01  1.1524680e+01
  3.1897042e-02  1.3084689e+01 -1.2082842e+01 -1.2408273e+00
 -2.1641001e+01  9.8976517e+00 -1.5789353e+01  1.4126205e+01
 -9.5267124e+00  1.0320005e+01  4.1420622e+00  6.1215601e+00
 -6.7598562e+00  1.1888000e+01 -3.1273756e+00 -2.5997231e+00
  5.7602197e-01  5.1960654e+00 -3.4917336e+00  2.4712512e+00
 -1.1162139e+01 -1.4750320e+00 -2.8986230e+00  1.5046449e+00
 -3.3898622e-01 -7.4470574e-01 -6.4960623e+00 -4.2618470e+00
 -6.1424603e+00  3.8039725e+00  1.6580730e+01  2.5050957e+01
  3.3709888e+01  2.9268003e+01  1.8084221e+01  6.2319560e+00]",Calm
951,"[-4.3761258e+02  9.3314217e+01  3.3845845e-01 -5.5033393e+00
 -2.6916780e+00  1.2645090e+01 -1.5723862e+01  9.3277302e+00
 -2.1120199e+01  1.1647098e+01 -1.6581203e+01  1.7551863e-01
 -6.3886113e+00  3.2303121e+00 -2.8962867e+00  1.7816978e+00
 -7.8552732e+00  1.2755978e+01 -4.6309838e+00  4.5315514e+00
  3.1071486e+00  5.6697650e+00 -2.2670147e+00  6.1717591e+00
 -3.5437937e+00  6.0184264e+00 -2.4353783e+00  3.7539594e+00
 -1.5617167e+00  2.5294676e+00  1.4077351e+00  1.0950472e+00
  4.4038963e-01  5.4590333e-01  3.9583151e+00  5.8795981e+00
  9.8389206e+00  1.2449194e+01  1.4486104e+01  1.1570985e+01]",Surprise
952,"[-3.1153949e+02  3.8815193e+01 -2.5405514e+01  3.2583424e+01
 -1.8065559e+01 -4.9469862e+00 -1.9265635e+01 -1.1036895e+01
  6.1863750e-01 -1.0097684e+01 -1.1909518e+01  1.0608254e+01
 -1.4409815e+01  6.5186286e+00 -1.3883913e+01  1.6221853e-01
 -3.3305573e+00  3.7092805e+00 -1.1378114e+01  1.0648731e+01
 -3.3684409e+00  5.4942651e+00  5.7778769e+00  3.2126813e+00
 -3.0959237e+00 -4.9634409e+00 -3.6382885e+00  7.2681251e+00
  1.3471751e+01  1.0594438e+01  5.3606496e+00  5.7575135e+00
  9.4832144e+00  6.5306172e+00 -1.2528487e-01 -1.1359763e+00
  1.3725646e+00  1.2372388e+00 -5.9277210e+00 -5.7438536e+00]",Happy
953,"[-4.0326755e+02  7.8586060e+01 -1.1808591e+01  2.6660130e+01
 -1.2173995e+01  1.6560659e+00 -2.8520107e+00 -4.4979906e+00
 -7.9015212e+00  1.2616553e+01 -1.6556524e+01  1.6021112e+01
 -5.0892196e+00  1.5255162e+00  3.6325266e+00 -5.3711343e+00
  1.4176853e+00  2.5115111e+00 -1.1343187e+01  1.9605584e+00
 -5.0884190e+00 -5.8867326e+00 -4.5585685e+00 -3.8889737e+00
 -3.5966809e+00 -2.6208210e+00 -2.7475269e+00 -9.2360389e-01
 -8.6857147e+00 -3.9046874e+00 -7.8249049e+00  5.4536533e+00
  1.5100799e+01  2.5774151e+01  3.1472752e+01  2.5020473e+01
  1.2750404e+01 -1.9805017e+00 -4.5334477e+00 -2.0603102e-01]",Calm
954,"[-337.81973      50.974556    -27.174847     21.43923     -32.47389
   -8.348939     -6.137994    -15.3292465   -14.079273      4.158138
  -20.74945      13.920683    -17.845573      5.4554324    -2.8089802
   -3.1046784    -4.0647016     0.418446    -10.555708      3.0543532
   -6.8896713    -1.7365648    -6.4608045    -2.4297478     0.981057
    4.0651402     8.07014      11.408695     11.741671     11.891467
    9.551167      8.475204      2.2791846    -1.0414981     0.56123483
    4.4604006     5.912803      5.701396      2.8938565    -0.7317626 ]",Angry
955,"[-3.9729120e+02  5.0934219e+01 -4.3525229e+00  3.8459618e+01
 -6.3058656e-01  4.6620612e+00 -8.7535133e+00 -1.1320517e+01
 -3.4200294e+00  9.2785854e+00 -2.0819231e+01  1.6612392e+01
 -8.4998846e+00  9.8428535e+00  8.5966462e-01 -3.0639639e+00
  1.1180328e+00  1.6727934e+00 -1.3154452e+01  4.1276660e+00
 -6.0864697e+00 -3.0201972e+00 -6.5091491e+00 -3.2124922e-01
 -6.8579440e+00 -6.2672561e-01 -2.9092350e+00 -1.2146504e+00
 -6.3098621e+00 -5.0941396e+00 -7.1043129e+00  8.1719170e+00
  1.2048293e+01  2.6238897e+01  2.9379803e+01  2.3378819e+01
  1.5134863e+01  4.4925156e-01 -3.4505460e+00 -5.6008655e-01]",Calm
956,"[-4.66648468e+02  4.50354424e+01 -3.92975760e+00  1.15054436e+01
 -3.12926793e+00  9.69764996e+00 -2.31558018e+01  5.21146393e+00
 -1.40872297e+01  1.88527262e+00 -1.19056225e+01  1.35312548e+01
 -4.32618111e-01  9.18836975e+00 -1.93620659e-02  2.41073751e+00
 -6.00749969e+00 -1.95912766e+00 -3.84453940e+00 -3.00940537e+00
  1.90607846e+00  4.83227539e+00 -2.69980717e+00  7.34642935e+00
  8.48453236e+00  1.36106682e+01  1.52531052e+01  2.08814182e+01
  1.76079063e+01  1.37853899e+01  1.10700798e+01  8.89512253e+00
  7.62503338e+00  5.85823917e+00  2.73926926e+00 -3.20394659e+00
  1.41758049e+00  7.63293362e+00  2.05007863e+00  1.59382820e+00]",Angry
957,"[-3.12209717e+02  4.75346222e+01 -2.76598701e+01  1.67567825e+01
 -1.81129360e+01 -1.15479016e+00 -1.75603542e+01 -1.19500294e+01
 -9.46840465e-01 -2.48904228e-01 -1.90035973e+01  1.59685335e+01
 -2.39333477e+01  1.03544540e+01 -1.13748398e+01 -1.48012364e+00
  6.52545631e-01  1.14414215e+00 -3.24215770e+00  1.72370112e+00
 -7.47321415e+00  1.85670412e+00  3.47873926e+00  1.28394899e+01
  6.77451944e+00  3.48181081e+00  2.26056027e+00  2.35125971e+00
  7.41347265e+00  4.83813381e+00 -3.87366951e-01  2.65967250e+00
  7.89325809e+00  1.22284546e+01  9.24756432e+00  1.03897706e-01
 -1.94568598e+00 -2.75448489e+00 -3.29713017e-01 -1.67978036e+00]",Happy
958,"[-3.6585101e+02  6.0098648e+01 -1.3188517e+01 -7.1461768e+00
 -2.9452148e+01  4.3251157e+00 -2.0712372e+01 -2.5572884e+00
 -1.5404590e+01  9.7162580e+00 -1.2438480e+01  3.7185097e+00
 -7.3085394e+00  7.0360031e+00 -6.3595934e+00  6.6151719e+00
  2.2416537e+00  5.5992837e+00 -4.6780543e+00  4.8003402e+00
 -5.7077408e+00  2.4481390e+00 -1.5437199e-01  5.9825367e-01
 -2.1960397e+00  1.2929569e+00 -2.7973304e+00  2.0733080e+00
  2.0159123e+00  4.4246774e+00  4.9003854e+00  1.1388243e+01
  8.8132687e+00  6.7088957e+00  6.6777611e+00  4.0780592e+00
  2.3834908e+00  5.3222471e-01  2.5658593e+00  1.4685301e+00]",Surprise
959,"[-3.8825717e+02  4.6522301e+01  1.0806563e+01  2.3959249e+01
 -1.3961482e+01  1.6143509e+00 -1.5500038e+01 -2.6858759e+00
 -1.5572247e+01  2.8186870e+00 -1.1966564e+01  9.6685228e+00
 -6.5822067e+00  4.0872264e+00 -2.8483098e+00 -7.8559965e-01
 -4.4911828e+00  5.3680425e+00 -8.1958218e+00  3.8069823e+00
 -3.1831841e+00  2.2886119e+00 -1.6915808e+00  5.8218699e+00
  1.1125683e-01  2.7896316e+00 -2.0782944e-02  2.6026480e+00
 -9.5920479e-01 -2.0154618e-01 -3.5411075e-01  3.4645572e+00
  2.9509308e+00  1.4765114e+00  1.8992947e-01  2.3759367e+00
  1.7957107e+00  8.5452133e-01  9.1358232e-01  2.5667562e+00]",Disgust
960,"[-526.2763      83.626915    23.9546      19.913273    12.288578
   16.22987    -13.638908   -11.823761   -19.394611     6.818269
  -16.094084     3.9740965   -8.815959     6.72189     -0.557716
   -3.9775252   -1.4149764    1.5918988    3.2499168   -3.729844
    5.4639506   -2.270066    -4.769718     2.2260835   -7.5652113
   -2.2649748   -2.408076     0.7920513    1.3528596    1.8168726
    5.932153     9.99613      2.501946     4.835461     6.0311594
    6.3206453   12.232527    21.543535    16.720112    15.380755 ]",Sad
961,"[-3.6369427e+02  7.8396271e+01  1.8835354e+01  3.7373669e+01
 -5.9151835e+00  1.3285017e+01 -6.4448338e+00 -4.3198123e+00
 -1.0330923e+00  4.1996002e-01 -1.3702672e+01  9.1132889e+00
 -9.2244053e+00  1.1786805e+01 -6.8085365e+00 -6.3568860e-01
 -2.4574980e-01  2.0607294e-01 -1.0000256e+01 -3.2589700e+00
 -6.9206300e+00 -3.0421405e+00 -4.8395667e+00  9.0963278e+00
  3.1144412e+00  7.6972866e+00  2.1685212e+00 -1.5863973e+00
 -1.1417527e+00  2.3313742e+00  6.5244083e+00  1.0794856e+01
  3.9598050e+00 -8.1018174e-01  1.9184630e-01  3.6952403e+00
  7.0447140e+00  6.6538925e+00  2.6767073e+00 -2.4822520e-01]",Sad
962,"[-365.93082      52.862774    -13.951591      3.130917    -20.848677
    7.882426    -33.720184     -3.995647    -24.66683      -0.41962466
   -4.5447764     2.864056      4.1215706     7.879057      0.82845783
    1.0556041    -8.761758      1.5011834    -6.2916956    -7.7158346
   -4.5778995     4.639129     -6.6458993    11.913237     11.810952
   19.183657     20.731543     22.273294     13.247307      6.6680613
    2.3043113     3.3288164     7.1510925     4.3543267     7.9113703
   -2.4043293     2.773088      7.6760135     3.1527205    -1.3936253 ]",Angry
963,"[-452.88812      97.68995       4.8194733    -5.791019     -3.6985722
    3.4811797   -21.537542      1.7721345   -23.835903     -1.2504723
  -17.663212     -2.9567337    -6.3691545    -0.7486893     0.92959106
    8.284654     -0.5386481    13.652365     -2.1244597    -1.0547189
    2.275355      0.73608255   -0.6558568     5.8451757    -6.28314
    6.6588774     4.178876      7.842684      3.474308      7.6797605
    1.5100517     6.6799374     3.9155774     1.6326045     5.927867
    8.821897     11.800987     12.555733     12.331885      8.671709  ]",Happy
964,"[-352.67368      63.80216     -16.466337      1.4380722   -17.32915
   -2.260966    -21.64034     -14.149234    -14.450226      5.5138717
  -15.870807      7.559693     -6.097271     12.20966      -8.540005
    6.539589     -1.5245587     5.1877675    -1.824545      6.5688233
   -6.3467827     2.357107     -6.54076       0.65331656   -2.0679038
    1.7809356    -0.7608202     2.9452677     3.2132127     5.5366893
    6.1806183    17.741966     11.18883       9.008069      3.5987275
    0.6228485     1.9821348     0.72108626    4.569633      3.425258  ]",Surprise
965,"[-4.8401382e+02  7.0054207e+01  1.2974282e+01  1.2399797e+01
  7.7698312e+00  1.4855116e+01 -1.2233963e+01  5.5793757e+00
 -2.1242887e+01  8.8669863e+00 -1.4816022e+01  8.9917727e+00
 -6.8447690e+00  5.4655919e+00 -2.1378307e+00  2.2239506e+00
 -5.3870950e+00  4.9231238e+00 -2.7090280e+00  1.1895056e+00
  1.8119701e+00 -2.6023571e+00 -2.2080004e+00  5.0470185e-01
 -2.0812767e+00  2.8287671e+00 -1.3945351e+00  7.3625766e-02
  1.4793794e+00  2.2758772e+00  4.3137088e+00  4.4903779e+00
  2.4331107e+00  6.9670944e+00  5.1055532e+00  3.4485829e+00
  9.3734293e+00  7.4523969e+00  1.0491481e+01  1.1480728e+01]",Disgust
966,"[-474.61176      85.01094       2.0436552     1.7757721     0.7054283
   13.817502    -18.175756      1.4443053   -16.406637      4.426952
  -12.1460705     5.8329363   -10.004079     11.092622      0.96601474
    8.08915      -3.977892      8.956716     -3.6857407    -1.8080856
    1.113663      2.70291      -4.217059      4.886366     -6.2350135
   -3.1773205    -1.6297308    -1.6958708    -4.024973      3.6316516
   -5.07879       0.55381763   -9.053075     -1.4103185     6.154713
   15.183673     24.32118      30.047943     26.946869     16.630215  ]",Calm
967,"[-315.297        34.351955    -20.356382     17.82956     -27.251448
   -5.756264     -9.252063    -14.169171    -12.554784      8.384054
  -22.767267     18.951885    -14.115153      7.907875     -2.300165
   -5.2111945    -4.4835267     1.1999905    -9.432169      4.1718626
   -4.5689983     0.6653336    -2.6124167     6.7424407     8.976732
   12.341265     10.738555     10.297312      5.895008      7.0987887
    2.4120195     2.1141953    -4.6662955    -1.6169498    -1.9150536
    1.1211064    -1.2335542    -3.1974137    -3.3876588     0.46352768]",Angry
968,"[-399.38882     86.791534     5.606767   -13.102501    -5.9613237
    4.5732417  -21.285734    -1.3690509  -24.529486     2.9112055
  -20.589428    -1.9527401   -5.8660173    1.2334155   -6.093922
    1.9111497   -5.6962886   12.1349      -2.6741545    2.4814377
    1.2154503    3.8199518   -3.845183     4.249984    -2.5404716
    5.5657134    2.2673283    9.751332     5.3688803    6.6674457
    4.272457     3.064903    10.695437     9.805009    15.163775
   11.552059     9.590998     8.162782     3.636422     6.4556494]",Surprise
969,"[-4.7087723e+02  1.0837160e+02  6.0276661e+00 -1.3745044e+00
 -7.5491400e+00  7.2572174e+00 -2.0285856e+01 -2.9313102e+00
 -1.7226986e+01  1.4517922e+00 -1.4675524e+01 -3.7865043e+00
 -7.3515420e+00  3.0336905e+00 -2.4937742e+00  5.1653829e+00
 -4.0855268e-01  1.0849346e+01 -8.8802010e-02 -4.0323405e+00
  5.9379613e-01  2.9740136e+00  1.5566475e+00  9.9042368e+00
 -1.1223376e-01  6.7088175e+00  2.5813370e+00  6.0786023e+00
 -9.9116105e-01  8.1092882e+00  3.0017076e+00  5.1280675e+00
  2.6319520e+00  1.3778064e+00  4.9015570e+00  7.2812834e+00
  8.9430542e+00  6.5656209e+00  8.6106768e+00  7.1240764e+00]",Happy
970,"[-4.5706134e+02  7.3634712e+01  6.5370297e+00  4.0647259e+00
 -4.9865341e+00  8.0918427e+00 -2.1291822e+01  9.3426962e+00
 -1.4029944e+01  5.2416005e+00 -1.8670630e+01 -1.6854473e+00
 -5.2490926e+00  2.0187433e+00 -2.2731459e+00  6.8223939e+00
 -3.3146195e+00  1.8434650e+01 -2.5904686e+00  4.0043440e+00
  3.2589978e-01  3.9553518e+00 -3.3902862e+00  4.3696423e+00
 -3.7341936e+00  7.6290379e+00  2.7016191e+00  8.5102758e+00
  7.3107219e-01  6.0327077e+00  2.6872721e+00  4.2565126e+00
  4.8809199e+00  3.2726815e+00  2.1861932e+00  2.7472215e+00
  5.8160052e+00  6.8890553e+00  8.5937119e+00  9.0668859e+00]",Happy
971,"[-4.4367615e+02  6.9303474e+01  1.5778954e+01  1.8833803e+01
  7.1813188e+00  9.8716612e+00 -1.8391369e+01  5.0859838e+00
 -2.2136057e+01  9.0827322e-01 -1.7747700e+01  3.3956387e+00
 -7.8123994e+00  3.9080040e+00 -4.0348010e+00  3.0366585e+00
 -5.6592145e+00  1.8937235e+00  1.4600961e+00 -1.4068084e+00
  3.8008821e-01 -4.8068050e-01 -6.1534595e+00 -1.2590821e+00
 -3.0521624e+00  2.8150260e+00  7.1093130e-01  7.1262336e+00
  1.7892363e+00  4.9516006e+00  2.8739121e+00  1.7712306e+00
  1.1639228e+00  3.9680691e+00  3.1114886e+00  3.3634710e+00
  9.0777063e+00  6.8896632e+00  1.1796902e+01  6.7596173e+00]",Disgust
972,"[-4.0138147e+02  8.9034058e+01 -9.5422363e+00  1.0539637e+01
 -2.6712286e+01  5.2253280e+00 -9.8613405e+00 -1.1051694e+01
 -1.0783542e+01  7.3698032e-01 -1.2981615e+01  4.4833660e+00
 -1.3953357e+01  6.5981245e+00 -1.1726510e+01 -2.6100073e+00
  3.5548452e-01 -2.6715860e+00 -3.4131575e+00  3.3247483e+00
 -6.3674927e+00  6.6596287e-01 -4.7456121e+00  1.5833766e+00
 -3.3750391e+00 -1.4453762e+00 -9.3420577e-01 -3.3955815e-01
 -6.5657765e-02  2.2180057e+00 -1.7563926e+00  3.5724499e+00
  1.3079404e+00  7.8984410e-01  4.0532398e+00  1.5440080e+00
  3.8334348e+00  2.5608432e+00  2.9541798e+00  2.1954830e+00]",Disgust
973,"[-4.4672485e+02  6.2033749e+01  2.4680696e+00 -9.8878136e+00
  1.4751782e-01  9.2392626e+00 -8.8103762e+00  3.2741060e+00
 -2.0235838e+01  5.3010364e+00 -2.1123758e+01 -2.4762090e-01
 -3.4081264e+00  1.8818827e+00 -1.4304487e+00  7.2752647e+00
 -8.6069307e+00  6.6673446e+00 -6.6365681e+00 -3.4772639e+00
  7.5594592e+00  2.5178495e+01  2.8388023e+01  3.8898579e+01
  2.0658987e+01  1.1397304e+01 -4.9798393e+00  2.2112744e-01
  2.3086705e+00  6.4629164e+00  1.3956342e+00 -4.8639393e+00
 -3.9203541e+00 -2.8292656e+00  5.3429022e+00 -6.3386959e-01
 -6.0475168e+00 -5.9298792e+00 -2.3744154e+00  2.3905370e+00]",Fear
974,"[-4.1450336e+02  6.6508217e+01 -9.1509905e+00 -3.6257844e+00
 -1.8138985e+01  8.4381485e+00 -2.2689289e+01 -6.2539115e+00
 -2.1691212e+01 -2.1209663e-01 -2.0332386e+00  4.3056755e+00
  1.5896478e+00  5.1196818e+00  3.3979924e+00  4.5432749e+00
 -5.5922112e+00  2.8267608e+00 -2.3978481e+00 -1.0513766e+01
 -5.6740317e+00  2.4967134e+00 -6.8510242e+00  8.7151861e+00
  1.0050095e+01  1.6103935e+01  1.4882878e+01  2.0309336e+01
  1.5964028e+01  1.5492844e+01  1.1756811e+01  8.5390549e+00
  9.7076044e+00  2.5050244e+00  1.0268049e+01  1.3436466e+00
  8.5038385e+00  7.8017492e+00  1.8545331e+00 -7.2209042e-04]",Angry
975,"[-4.7646011e+02  7.4097427e+01  1.8355585e+01  1.3867582e+01
  9.8468647e+00  1.3152686e+01 -1.3554325e+01  9.2066698e+00
 -1.9249538e+01  3.6131718e+00 -1.3062021e+01  3.4425671e+00
 -6.0491877e+00  5.3870625e+00 -1.9370501e+00  2.2675776e+00
 -6.8046274e+00  5.7729573e+00 -2.0471969e+00 -1.6086358e+00
 -9.9045652e-01 -4.4353583e-01 -2.7230546e+00 -2.7957946e-01
 -2.1611781e+00  2.1012874e+00 -1.0702116e+00  3.3976424e+00
 -6.1630070e-01  2.0767419e+00  1.8715565e+00  2.6987047e+00
  1.1125983e+00  3.4463129e+00  3.6890428e+00  5.1340451e+00
  8.3617306e+00  7.6222634e+00  1.0941143e+01  7.6440015e+00]",Disgust
976,"[-3.8311649e+02  1.0399328e+02 -1.3842661e+00 -1.7677448e+01
 -1.3963481e+01  5.1931539e+00 -1.6027161e+01  3.0884099e+00
 -2.4002575e+01  3.3632147e+00 -2.1321375e+01  2.0789626e-01
 -9.6192894e+00  2.0747390e+00 -4.6999650e+00  4.6908169e+00
 -6.1166015e+00  1.4125531e+01  1.5590671e-01  7.9729491e-01
  4.7555730e-01  7.5421853e+00 -5.5331268e+00  4.7679801e+00
 -3.7373328e+00  2.9044001e+00 -1.7656212e+00  5.9427822e-01
  1.7896396e+00  3.6507442e+00 -7.0600855e-01  1.8908310e-01
  6.3608295e-01  3.2046738e+00  9.6472998e+00  1.1986937e+01
  1.7954479e+01  1.5264049e+01  1.2680637e+01  7.9284754e+00]",Surprise
977,"[-284.40744      28.345715    -16.30057      21.330734    -16.858116
    6.8852787   -10.862954      0.60686433  -14.038691     13.015389
  -21.841513      9.6345       -9.917837      6.018711     -1.16408
   -1.7962695    -6.975978      9.156388    -12.108483      4.707362
    1.9150627     6.5622516     6.927834     14.560219      3.2047431
    5.9386415    -2.7002416     1.2480024     4.702146      2.725104
   -2.687422     -1.4474678    -4.2461762     1.754721     -1.4687291
   -0.78143513   -1.3093894    -2.6260502    -2.140059     -1.0115995 ]",Fear
978,"[-5.4486322e+02  8.4131386e+01  2.7676708e+01  2.8179585e+01
  1.5825000e+01  1.1835238e+01 -1.8564655e+01 -4.0580606e+00
 -1.5571294e+01  7.7325411e+00 -1.7481895e+01  4.5693221e+00
 -8.7153416e+00  6.3907423e+00  9.6951002e-01  1.6047620e+00
  1.3407658e+00  4.9183679e+00 -1.5314253e-01 -7.4617009e+00
  3.7624006e+00 -2.4248838e+00 -2.5401635e+00  2.6403916e+00
 -9.0572338e+00  1.0052361e+00  3.9635569e-01  4.6635766e+00
  1.4005171e+00  6.4159341e+00  9.7437334e+00  6.2650242e+00
  1.4923341e+00  1.5315917e+00  1.2048669e+00  3.4173107e+00
  1.2257297e+01  1.5022371e+01  1.3726310e+01  1.3105649e+01]",Sad
979,"[-4.0618350e+02  8.4994133e+01 -9.6173306e+00  2.6241726e+01
 -1.4277714e+01  7.9624081e+00 -1.5059262e+01 -1.1969219e+01
 -1.0418809e+01  7.6911888e+00 -1.6551043e+01  6.2310734e+00
 -1.5350473e+01  9.2474136e+00 -9.8843336e+00 -1.9964705e+00
 -3.7949188e+00 -2.3556600e+00 -6.6066136e+00  2.1984892e+00
 -7.5753136e+00 -1.0060880e-01 -3.8430645e+00  2.4330592e+00
 -5.0479908e+00  6.1961508e-01 -4.7666663e-01  2.5629997e+00
  3.1698210e+00  4.1644530e+00  1.7093115e+00  6.9155807e+00
  2.8067849e+00  2.5620725e+00  2.5821333e+00  1.0899186e+00
  3.3759196e+00  2.9004595e+00  1.3752491e+00  2.4325976e+00]",Disgust
980,"[-3.6754425e+02  7.6154831e+01  2.0216568e+01  3.7406376e+01
 -1.6852005e+01  1.4854524e+01 -7.6308045e+00 -2.1682873e+00
 -5.1651306e+00 -1.0172857e+00 -1.1795494e+01  4.5365901e+00
 -1.0187417e+01  8.1045284e+00 -1.0313087e+01  2.2419899e+00
 -4.4382472e+00  2.7954700e+00 -1.2558745e+01 -1.2463366e+00
 -9.3236675e+00 -3.1731579e+00 -1.1438340e+00  6.5794997e+00
 -5.6648654e-01  5.2479043e+00 -2.0460796e+00 -3.5968142e+00
 -1.3966483e+00  3.2562193e-01  6.0586829e+00  1.1010827e+01
  5.0715060e+00  9.5101190e-01  3.3392638e-01  1.5893636e+00
  6.2108984e+00  8.8534021e+00  1.0670378e+01  7.4158120e+00]",Sad
981,"[-3.2064554e+02  3.3396049e+01 -1.7772493e+01  3.2342739e+01
 -1.5475418e+01 -9.8841600e-02 -9.2688208e+00 -8.7565279e+00
 -6.8393364e+00 -2.2096586e+00 -1.3015998e+01  1.3349850e+01
 -1.7165447e+01  1.0625511e+01 -1.0598130e+01  9.9166244e-01
 -3.5350746e-01  8.4332496e-01 -3.7580357e+00 -3.3861511e+00
 -1.0465558e+01 -4.2676473e+00 -4.8632881e-01  1.0496208e+01
  2.6596012e+00  4.6113195e+00 -8.3299941e-01 -2.3461988e+00
  6.5440798e+00  4.4928789e+00  3.6336620e+00  5.8996987e+00
  3.9709175e+00  7.1877246e+00  6.4036913e+00  9.0135250e+00
  4.2829165e+00 -2.8465121e+00 -2.2061007e+00  8.5203445e-01]",Happy
982,"[-3.0502335e+02  5.4056698e+01 -2.0013000e+01  2.0007744e+01
 -6.8375473e+00  8.8324451e-01 -1.4250180e+01 -1.1291330e+00
 -1.6158623e+01  1.0990738e+01 -2.5614822e+01  4.7688913e+00
 -7.3812771e+00  6.1553159e+00 -3.0514283e+00  3.1431171e-01
 -2.8655486e+00  1.1771901e+01 -7.3793793e+00  1.8809351e+01
  1.3978226e+01  1.3541734e+01  3.8878841e+00  1.7607845e+00
 -7.7557383e+00  8.2588415e+00  1.3526613e+00  6.1926212e+00
 -9.0573263e-01 -7.4388832e-01  2.0008948e+00  2.5106001e+00
 -4.2879734e+00 -4.8703060e+00 -3.1107793e+00 -9.4902831e-01
  2.1460885e-01 -2.1616571e+00  8.9577341e-01  4.7925005e+00]",Fear
983,"[-3.3278940e+02  4.4932255e+01 -3.3477028e+01  9.1837673e+00
 -2.4010832e+01  8.7226133e+00 -1.3950655e+01 -2.2100284e+00
 -1.2391555e+01  8.4345160e+00 -1.8294573e+01  1.1136792e+01
 -7.2547584e+00  1.0229431e+01 -5.5552349e+00  1.1484167e+01
 -2.3496518e-01  9.9977703e+00 -7.4747810e+00  8.9782095e+00
 -3.4112644e+00  5.8984709e+00 -5.9041233e+00 -2.2021151e-01
 -1.5496515e+00  3.7554118e-01 -7.3566401e-01  8.2853832e+00
  8.6623697e+00  1.2822947e+01  9.7186480e+00  9.8909826e+00
  4.1681948e+00  4.1641994e+00  1.2314674e+00  4.6353264e+00
  3.3484030e+00  1.2094864e+00  2.0255651e+00  9.3612003e-01]",Surprise
984,"[-4.1720059e+02  4.7032372e+01  1.4240644e+00  1.6320932e+01
 -4.9703498e+00  7.1530566e+00 -2.0757406e+01 -5.6282067e+00
 -1.5439436e+01 -9.9981201e-01 -1.4801817e+01  6.2508326e+00
 -8.5250912e+00  4.7452426e+00 -2.7226031e+00  4.6759558e-01
 -6.9761705e-01  8.4910002e+00  1.3843092e+00  5.3114896e+00
 -4.4066968e+00  2.0329769e+00 -4.7203097e+00  4.0707021e+00
 -9.2527255e-02  1.8655912e+00 -1.9307671e+00  2.3621228e+00
 -1.4124313e-01  6.9651074e+00 -1.2948315e+00  3.2915409e+00
  1.2188225e+00  6.7449558e-01  3.4592891e+00  1.2240974e+00
  3.7286773e+00  3.1110694e+00  2.0769541e+00  3.1129723e+00]",Disgust
